bilmerke;alder;Registrerte personbiler 2019;Registrerte varebiler 2019
Fendt;12 - 15 år;0;9
Fendt;16 - 20 år;0;0
Fendt;Over 20 år;0;0
Ferrari;Under 4 år;35;0
Ferrari;4 - 7 år;37;0
Ferrari;8 - 11 år;66;0
Ferrari;12 - 15 år;37;0
Ferrari;16 - 20 år;53;0
Ferrari;Over 20 år;247;0
Ffso-Warszawa;Under 4 år;0;0
Ffso-Warszawa;4 - 7 år;0;0
Ffso-Warszawa;8 - 11 år;0;0
Ffso-Warszawa;12 - 15 år;0;0
Ffso-Warszawa;16 - 20 år;0;0
Ffso-Warszawa;Over 20 år;2;0
Fiat;Under 4 år;406;1076
Fiat;4 - 7 år;2848;2009
Fiat;8 - 11 år;4163;2504
Fiat;12 - 15 år;1055;1516
Fiat;16 - 20 år;392;2395
Fiat;Over 20 år;1490;2020
Fisker;Under 4 år;0;0
Fisker;4 - 7 år;1;0
Fisker;8 - 11 år;9;0
Fisker;12 - 15 år;0;0
Fisker;16 - 20 år;0;0
Fisker;Over 20 år;0;0
Fjallvagnen;Under 4 år;0;0
Fjallvagnen;4 - 7 år;0;0
Fjallvagnen;8 - 11 år;0;0
Fjallvagnen;12 - 15 år;0;0
Fjallvagnen;16 - 20 år;0;0
Fjallvagnen;Over 20 år;0;0
Fleetwood;Under 4 år;0;0
Fleetwood;4 - 7 år;0;0
Fleetwood;8 - 11 år;0;0
Fleetwood;12 - 15 år;0;0
Fleetwood;16 - 20 år;0;0
Fleetwood;Over 20 år;0;1
Fleur de lys automobile;Under 4 år;0;0
Fleur de lys automobile;4 - 7 år;0;0
Fleur de lys automobile;8 - 11 år;0;0
Fleur de lys automobile;12 - 15 år;0;0
Fleur de lys automobile;16 - 20 år;0;0
Fleur de lys automobile;Over 20 år;0;1
Fobo;Under 4 år;0;0
Fobo;4 - 7 år;0;0
Fobo;8 - 11 år;0;0
Fobo;12 - 15 år;0;0
Fobo;16 - 20 år;0;0
Fobo;Over 20 år;0;0
Ford;Under 4 år;14212;15740
Ford;4 - 7 år;35061;16413
Ford;8 - 11 år;50412;9395
Ford;12 - 15 år;30736;7923
Ford;16 - 20 år;13919;1634
Ford;Over 20 år;18235;1672
Ford-Cng-Technik;Under 4 år;1023;0
Ford-Cng-Technik;4 - 7 år;473;0
Ford-Cng-Technik;8 - 11 år;7;0
Ford-Cng-Technik;12 - 15 år;0;0
Ford-Cng-Technik;16 - 20 år;0;0
Ford-Cng-Technik;Over 20 år;0;0
Fordson;Under 4 år;0;0
Fordson;4 - 7 år;0;0
Fordson;8 - 11 år;0;0
Fordson;12 - 15 år;0;0
Fordson;16 - 20 år;0;0
Fordson;Over 20 år;0;3
Frankia;Under 4 år;0;0
Frankia;4 - 7 år;0;0
Frankia;8 - 11 år;0;0
Frankia;12 - 15 år;0;6
Frankia;16 - 20 år;0;0
Frankia;Over 20 år;0;11
Franklin;Under 4 år;0;0
Franklin;4 - 7 år;0;0
Franklin;8 - 11 år;0;0
Franklin;12 - 15 år;0;0
Franklin;16 - 20 år;0;0
Franklin;Over 20 år;1;0
Fuso;Under 4 år;2;0
Fuso;4 - 7 år;4;1
Fuso;8 - 11 år;0;0
Fuso;12 - 15 år;0;0
Fuso;16 - 20 år;0;0
Fuso;Over 20 år;0;0
Galloper;Under 4 år;0;0
Galloper;4 - 7 år;0;0
Galloper;8 - 11 år;0;0
Galloper;12 - 15 år;0;0
Galloper;16 - 20 år;255;224
Galloper;Over 20 år;7;5
Gaz;Under 4 år;0;0
Gaz;4 - 7 år;1;0
Gaz;8 - 11 år;0;0
Gaz;12 - 15 år;0;0
Gaz;16 - 20 år;0;0
Gaz;Over 20 år;4;0
Glas;Under 4 år;0;0
Glas;4 - 7 år;0;0
Glas;8 - 11 år;0;0
Glas;12 - 15 år;0;0
Glas;16 - 20 år;0;0
Glas;Over 20 år;2;0
Gm Daewoo;Under 4 år;0;0
Gm Daewoo;4 - 7 år;0;0
Gm Daewoo;8 - 11 år;0;0
Gm Daewoo;12 - 15 år;56;0
Gm Daewoo;16 - 20 år;192;0
Gm Daewoo;Over 20 år;0;0
Gmc;Under 4 år;0;14
